time	task_A_1	task_B_1	task_B_2	task_B_3	voter	task_C_1
230791	115	187	103	242	11	173
230802	115	187	104	242	11	173
230813	115	187	105	242	11	173
230960	116	187	105	242	11	173
230971	117	187	105	242	11	173
230982	118	187	105	242	11	173
231013	118	187	105	242	11	174
232183	118	187	106	242	11	174
232358	119	187	106	242	11	174
233590	119	187	106	243	11	174
233808	119	188	106	243	11	174
233863	119	188	106	243	11	175
234002	119	188	106	244	11	175
235212	119	188	106	245	11	175
235223	119	188	106	246	11	175
235234	119	188	106	247	11	175
235399	119	189	106	247	11	175
235410	119	190	106	247	11	175
235421	119	191	106	247	11	175
235473	119	191	106	247	11	176
236579	120	191	106	247	11	176
236590	121	191	106	247	11	176
236601	122	191	106	247	11	176
236806	122	191	106	248	11	176
236817	122	191	106	249	11	176
237023	122	192	106	249	11	176
237034	122	193	106	249	11	176
238213	122	193	107	249	11	176
238388	123	193	107	249	11	176
239620	123	193	107	250	11	176
239631	123	193	107	251	11	176
239821	123	194	107	251	11	176
239833	123	195	107	251	11	176
239845	123	196	107	251	11	176
239857	123	196	107	251	11	177
240022	123	196	107	252	11	177
240033	123	196	107	253	11	177
241228	123	196	107	254	11	177
241430	123	197	107	254	11	177
241441	123	198	107	254	11	177
241452	123	199	107	254	11	177
241502	123	199	107	254	11	178
242635	123	199	108	254	11	178
242646	123	199	109	254	11	178
242810	124	199	109	254	11	178
242821	125	199	109	254	11	178
243037	125	199	109	255	11	178
243048	125	199	109	256	11	178
244217	126	199	109	256	11	178
244445	126	199	109	257	11	178
244456	126	199	109	258	11	178
245624	127	199	109	258	11	178
245635	128	199	109	258	11	178
245646	129	199	109	258	11	178
245677	129	199	109	258	12	178
245851	129	199	110	258	12	178
245862	129	199	111	258	12	178
246026	130	199	111	258	12	178
246038	131	199	111	258	12	178
246049	132	199	111	258	12	178
247258	132	199	112	258	12	178
247269	132	199	113	258	12	178
247433	133	199	113	258	12	178
248665	133	200	113	258	12	178
248676	133	201	113	258	12	178
248687	133	202	113	258	12	178
248866	133	202	113	259	12	178
248877	133	202	113	260	12	178
249076	133	203	113	260	12	178
250274	133	203	114	260	12	178
250448	134	203	114	260	12	178
250459	135	203	114	260	12	178
251654	136	203	114	260	12	178
251665	137	203	114	260	12	178
251890	137	203	114	261	12	178
252083	137	204	114	261	12	178
252095	137	205	114	261	12	178
253289	137	205	114	262	12	178
253300	137	205	114	263	12	178
253311	137	205	114	264	12	178
253489	137	206	114	264	12	178
253500	137	207	114	264	12	178
253553	137	207	114	264	12	179
253564	137	207	114	264	12	180
254695	137	207	114	265	12	180
254706	137	207	114	266	12	180
254717	137	207	114	267	12	180
254913	137	208	114	267	12	180
254924	137	209	114	267	12	180
254935	137	210	114	267	12	180
255097	137	210	114	268	12	180
255109	137	210	114	269	12	180
