Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
451	false	0	1349521	7	r9
452	false	0	329203	7	rbx
453	false	0	903214	5	rsp
454	false	0	227022	2	rsp
455	false	0	227022	2	rsp
456	false	0	1661920	0	rdx
457	false	0	1326575	3	rdx
458	false	0	1402483	4	r12
459	false	0	986921	5	rcx
460	false	0	752342	1	rbx
461	false	0	1616576	8	r15
462	false	0	1148788	6	r11
463	false	0	1782427	5	rsi
464	false	0	1729601	8	r11
465	false	0	1420140	8	r15
466	false	0	242900	7	r15
467	false	0	367481	2	r10
468	false	0	367481	2	rbp
469	false	0	1647083	5	r10
470	false	0	385574	0	r13
471	false	0	1894145	0	rcx
472	false	0	286995	0	rcx
473	false	0	1821519	3	r13
474	false	0	1795030	9	r10
475	false	0	1647657	2	r8
476	false	0	1880509	2	r9
477	false	0	225986	9	rsi
478	false	0	450962	3	rbx
479	false	0	721313	3	rdx
480	false	0	1591007	0	rsp
481	false	0	1376988	2	rax
482	false	0	5601	0	rax
483	false	0	1574515	3	rdi
484	false	0	824266	3	rax
485	false	0	330787	4	rax
486	false	0	330787	4	r8
487	false	0	1882921	2	r8
488	false	0	837539	4	r14
489	false	0	239005	8	rsi
490	false	0	831314	4	r9
491	false	0	537304	7	r13
492	false	0	259957	9	r13
493	false	0	1866083	2	rbx
494	false	0	1156435	5	r14
495	false	0	1348981	3	r10
496	false	0	1600995	6	r10
497	false	0	412395	8	rax
498	false	0	1414009	0	rcx
499	false	0	1861771	3	rdx
500	false	0	669095	1	rcx
501	false	0	1454782	9	r9
502	false	0	471125	9	r9
503	false	0	1657035	2	rcx
504	false	0	47669	6	rcx
505	false	0	480015	0	rbx
506	false	0	1549240	9	r14
507	false	0	1739541	0	rdi
508	false	0	1793777	9	r8
509	false	0	550048	0	r12
510	false	0	1655274	2	r11
511	false	0	1554686	7	r12
512	false	0	1118300	4	rbx
513	false	0	568581	8	rsp
514	true	32767	118432	2	rsp
515	true	32767	118432	2	rsp
516	false	0	118432	2	r13
517	false	0	794270	2	rbp
518	false	0	1851584	4	rdx
519	false	0	437573	1	rbp
520	false	0	1918364	3	r15
521	false	0	900665	1	r11
522	false	0	275260	9	r11
523	false	0	1327882	7	rsp
524	false	0	750757	4	rax
525	false	0	1360280	2	r12
526	false	0	278388	6	r12
527	false	0	1002745	3	rbx
528	false	0	698560	8	r11
529	false	0	729536	1	rbx
530	false	0	715686	1	rsp
531	false	0	6020	0	rsp
532	false	0	1286827	5	rax
533	false	0	729788	6	rax
534	false	0	1771953	7	r13
535	false	0	1463726	9	r10
536	false	0	1783351	4	r8
537	false	0	188704	4	r10
538	false	0	188704	4	r10
539	false	0	188704	4	rbp
540	false	0	228320	2	r8
541	false	0	672074	3	r12
542	false	0	845905	8	rax
